case_id,block,intent,pair_eligible,v0_1_eligible,rc_1_eligible,exclusion_reason,v0_1_D1,v0_1_D2,v0_1_D3,v0_1_D4,v0_1_D5,v0_1_D6,rc_1_D1,rc_1_D2,rc_1_D3,rc_1_D4,rc_1_D5,rc_1_D6,delta_D1,delta_D2,delta_D3,delta_D4,delta_D5,delta_D6,v0_1_overall_mean,rc_1_overall_mean,delta_overall_mean,v0_1_successful_repeats,rc_1_successful_repeats,v0_1_critical_flags,rc_1_critical_flags,new_flags,removed_flags
PILOT-B-EXT-02,B,extension,False,False,True,v0_1_side_ineligible,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,100.0,100.0,,1,3,,,,
PILOT-B-SCA-01,B,scaffolding,True,True,True,,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,95.83,100.0,4.17,3,3,,,,
PILOT-B-SCA-02,B,scaffolding,False,False,True,v0_1_side_ineligible,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,100.0,,0,3,,,,
PILOT-B-SUP-01,B,supportive_feedback,True,True,True,,4.0,4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0,3.6667,4.0,3.6667,0.0,0.0,0.0,-0.3333,0.5,-0.3333,97.915,97.22,-0.695,2,3,,,,
PILOT-B-SUP-02,B,supportive_feedback,True,True,True,,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,95.83,100.0,4.17,2,3,,,,
PILOT-C-COR-01,C,corrective_feedback,False,False,False,both_sides_ineligible,,,,,,,4.0,4.0,4.0,4.0,4.0,3.0,,,,,,,,95.83,,0,1,,,,
PILOT-C-ELI-01,C,elicitation,True,True,True,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,3,3,,,,
PILOT-C-EXP-01,C,explanation,True,True,True,,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,95.83,100.0,4.17,3,3,,,,
PILOT-C-EXT-01,C,extension,True,True,True,,4.0,4.0,4.0,3.6667,3.3333,3.6667,3.0,4.0,3.0,3.0,4.0,4.0,-1.0,0.0,-1.0,-0.6667,0.6667,0.3333,94.4433,87.5,-6.9433,3,3,,,,
PILOT-C-SCA-01,C,scaffolding,True,True,True,,3.3333,4.0,3.6667,3.0,3.0,3.6667,4.0,4.0,4.0,4.0,4.0,4.0,0.6667,0.0,0.3333,1.0,1.0,0.3333,86.11,100.0,13.89,3,3,,,,
PILOT-C-SUP-01,C,supportive_feedback,True,True,True,,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,95.83,100.0,4.17,2,3,,,,
